	id	timeframe	start_sec	end_sec	n_obs	duration_hours	residual_ra_last_mean	residual_ra_last_std	residual_dec_last_mean	residual_dec_last_std	start_dt	end_dt	weight_ra	weight_dec	mean_weight	weight_ra_scaled	weight_dec_scaled	mean_weight_scaled
26	119_nm0017	26	-2.93051267e+08	-2.93051267e+08	1	0.00000000e+00	7.39596384e-01	9.15895718e-01	-7.46259591e-03	3.24903190e-01	1990-09-18 16:52:13.310410	1990-09-18 16:52:13.310410	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
27	119_nm0017	27	-2.92791273e+08	-2.92791273e+08	1	0.00000000e+00	-5.57551482e-01	9.15895718e-01	-8.66405083e-02	3.24903190e-01	1990-09-21 17:05:27.326381	1990-09-21 17:05:27.326381	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
28	119_nm0017	28	-2.92704879e+08	-2.92704879e+08	1	0.00000000e+00	-2.07882018e-01	9.15895718e-01	9.06260431e-01	3.24903190e-01	1990-09-22 17:05:21.278375	1990-09-22 17:05:21.278375	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
29	119_nm0017	29	-2.90462787e+08	-2.90462787e+08	1	0.00000000e+00	2.78133163e-01	9.15895718e-01	6.97413083e-02	3.24903190e-01	1990-10-18 15:53:33.374403	1990-10-18 15:53:33.374403	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
30	119_nm0017	30	-2.65047994e+08	-2.65047994e+08	1	0.00000000e+00	-2.84090949e-01	9.15895718e-01	-2.04784970e-01	3.24903190e-01	1991-08-08 19:33:25.927067	1991-08-08 19:33:25.927067	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
31	119_nm0017	31	-2.63065368e+08	-2.63065368e+08	1	0.00000000e+00	3.03365610e-01	9.15895718e-01	-2.14037071e-01	3.24903190e-01	1991-08-31 18:17:11.910637	1991-08-31 18:17:11.910637	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
32	119_nm0017	32	-2.62634859e+08	-2.62634859e+08	1	0.00000000e+00	6.38610254e-01	9.15895718e-01	5.60533226e-02	3.24903190e-01	1991-09-05 17:52:20.646547	1991-09-05 17:52:20.646547	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
33	119_nm0017	33	-2.62117220e+08	-2.62117220e+08	1	0.00000000e+00	3.55179258e-01	9.15895718e-01	6.68822931e-01	3.24903190e-01	1991-09-11 17:39:40.326511	1991-09-11 17:39:40.326511	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
34	119_nm0017	34	-2.60564527e+08	-2.60564527e+08	1	0.00000000e+00	-8.31931464e-02	9.15895718e-01	-7.45729304e-01	3.24903190e-01	1991-09-29 16:57:52.998329	1991-09-29 16:57:52.998329	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
35	119_nm0017	35	-2.60478312e+08	-2.60478312e+08	1	0.00000000e+00	4.81422552e-01	9.15895718e-01	-7.54889266e-01	3.24903190e-01	1991-09-30 16:54:48.102329	1991-09-30 16:54:48.102329	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
36	119_nm0017	36	-2.60135133e+08	-2.60135133e+08	1	0.00000000e+00	8.21235498e-03	9.15895718e-01	2.99148758e-01	3.24903190e-01	1991-10-04 16:14:27.174362	1991-10-04 16:14:27.174362	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
37	119_nm0017	37	-2.59874455e+08	-2.59874455e+08	1	0.00000000e+00	1.02791716e-01	9.15895718e-01	-2.20359725e-01	3.24903190e-01	1991-10-07 16:39:05.478353	1991-10-07 16:39:05.478353	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
38	119_nm0017	38	-2.59440588e+08	-2.59440588e+08	1	0.00000000e+00	-1.44478897e-01	9.15895718e-01	-6.24230192e-01	3.24903190e-01	1991-10-12 17:10:11.718401	1991-10-12 17:10:11.718401	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
39	119_nm0017	39	-2.36702722e+08	-2.36702722e+08	1	0.00000000e+00	7.58318011e-01	9.15895718e-01	-5.96594956e-01	3.24903190e-01	1992-07-01 21:14:38.256069	1992-07-01 21:14:38.256069	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
40	119_nm0017	40	-2.36185497e+08	-2.36185497e+08	1	0.00000000e+00	-1.10706985e-01	9.15895718e-01	-5.28753736e-01	3.24903190e-01	1992-07-07 20:55:03.215893	1992-07-07 20:55:03.215893	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
41	119_nm0017	41	-2.33856266e+08	-2.33856266e+08	1	0.00000000e+00	-3.56956066e-01	9.15895718e-01	-9.37105332e-02	3.24903190e-01	1992-08-03 19:55:34.031188	1992-08-03 19:55:34.031188	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
42	119_nm0017	42	-2.33769253e+08	-2.33769253e+08	1	0.00000000e+00	2.24893090e-01	9.15895718e-01	2.78700076e-01	3.24903190e-01	1992-08-04 20:05:46.607146	1992-08-04 20:05:46.607146	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
43	119_nm0017	43	-2.32307911e+08	-2.32307911e+08	1	0.00000000e+00	-2.42977312e-01	9.15895718e-01	-2.88043431e-01	3.24903190e-01	1992-08-21 18:01:28.558763	1992-08-21 18:01:28.558763	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
44	119_nm0017	44	-2.32221224e+08	-2.32221224e+08	1	0.00000000e+00	-5.85316644e-02	9.15895718e-01	3.60750582e-01	3.24903190e-01	1992-08-22 18:06:16.270741	1992-08-22 18:06:16.270741	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
45	119_nm0017	45	-2.29028083e+08	-2.29028083e+08	1	0.00000000e+00	-1.82071710e-01	9.15895718e-01	-4.97407215e-01	3.24903190e-01	1992-09-28 17:05:17.230318	1992-09-28 17:05:17.230318	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
46	119_nm0017	46	-2.28854798e+08	-2.28854798e+08	1	0.00000000e+00	-6.49185999e-02	9.15895718e-01	9.58393312e-02	3.24903190e-01	1992-09-30 17:13:21.934348	1992-09-30 17:13:21.934348	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
47	119_nm0017	47	-2.28769729e+08	-2.28769729e+08	1	0.00000000e+00	2.70915692e-01	9.15895718e-01	2.31861440e-01	3.24903190e-01	1992-10-01 16:51:10.510349	1992-10-01 16:51:10.510349	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
48	119_nm0017	48	-2.00590393e+08	-2.00590393e+08	1	0.00000000e+00	-5.36797212e-02	9.15895718e-01	-6.48267558e-01	3.24903190e-01	1993-08-23 20:26:47.318754	1993-08-23 20:26:47.318754	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
49	119_nm0017	49	-1.98871291e+08	-1.98871291e+08	1	0.00000000e+00	-1.67501642e-01	9.15895718e-01	-4.63909453e-01	3.24903190e-01	1993-09-12 17:58:28.982469	1993-09-12 17:58:28.982469	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
50	119_nm0017	50	-1.98357070e+08	-1.98357070e+08	1	0.00000000e+00	-6.06024999e-01	9.15895718e-01	-5.72721429e-01	3.24903190e-01	1993-09-18 16:48:49.814431	1993-09-18 16:48:49.814431	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
51	119_nm0017	51	-1.96802952e+08	-1.96802952e+08	1	0.00000000e+00	-5.47289955e-01	9.15895718e-01	3.53143886e-01	3.24903190e-01	1993-10-06 16:30:48.086321	1993-10-06 16:30:48.086321	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
52	119_nm0017	52	-1.96023694e+08	-1.96023694e+08	1	0.00000000e+00	-2.29274916e-01	9.15895718e-01	-1.08800513e-01	3.24903190e-01	1993-10-15 16:58:26.102353	1993-10-15 16:58:26.102353	5.07175434e+10	4.03034585e+11	2.26876064e+11	5.07175434e+10	4.03034585e+11	2.26876064e+11
53	188_nm0016	0	-2.97888582e+08	-2.97885317e+08	2	9.06792000e-01	7.24182613e-02	5.76998531e-02	3.99236317e-01	1.00000000e-02	1990-07-24 17:10:18.149868	1990-07-24 18:04:42.601067	1.27791171e+13	4.25451703e+14	2.19115410e+14	9.03620039e+12	3.00839784e+14	1.54937992e+14
54	188_nm0016	1	-2.97799098e+08	-2.97794566e+08	3	1.25889600e+00	1.85574610e-01	8.20735810e-02	3.18188001e-01	2.22250841e-02	1990-07-25 18:01:41.593042	1990-07-25 19:17:13.618640	6.31602006e+12	8.61317835e+13	4.62239018e+13	3.64655588e+12	4.97282084e+13	2.66873821e+13
55	188_nm0083	0	-3.85075354e+08	-3.85075354e+08	1	0.00000000e+00	7.37754368e-01	3.18334576e-01	1.06627897e+00	3.20920273e-01	1987-10-19 14:37:25.825584	1987-10-19 14:37:25.825584	4.19838868e+11	4.13100728e+11	4.16469798e+11	4.19838868e+11	4.13100728e+11	4.16469798e+11
56	188_nm0083	1	-3.84815591e+08	-3.84815591e+08	1	0.00000000e+00	1.28464682e+00	3.18334576e-01	6.87321086e-01	3.20920273e-01	1987-10-22 14:46:49.240007	1987-10-22 14:46:49.240007	4.19838868e+11	4.13100728e+11	4.16469798e+11	4.19838868e+11	4.13100728e+11	4.16469798e+11
57	188_nm0083	2	-2.98231423e+08	-2.98227766e+08	3	1.01570400e+00	9.81687522e-02	2.93610531e-01	2.05396206e-01	5.55745407e-01	1990-07-20 17:56:17.333972	1990-07-20 18:57:13.868372	4.93522560e+11	1.37752187e+11	3.15637374e+11	2.84935383e+11	7.95312622e+10	1.82233323e+11
